pertanyaan,jawaban,konteks
leres atanapi henteu pakakas paranti nakolan paku keur kai jeung sajabana disebut palu,leres,palu nyaeta pakakas paranti nakol paku jang makuan kai jeung sajabana
leres atanapi henteu pakakas paranti motongan kai disebutna ragaji,leres,ragaji nyaeta pakakas anu sok digunakeun paranti motong kai
leres atanapi henteu pakakas paranti muterkeun baud disebutna obeng,leres,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu pakakas paranti muterkeun mur disebutna konci inggris,leres,konci inggris nyaeta pakakas paranti muterkeun mur
leres atanapi henteu pakakas paranti ngala jukut atawa pare teh namina arit,leres,arit nyaeta pakakas paranti ngala jukut atawa pare
leres atanapi henteu pakakas paranti ngadek teh namina bedog,leres,bedog nyaeta pakakas paranti ngadek 
leres atanapi henteu pakakas anu bisa dijieun patik atawa rimbas teh namina baliung,leres,baliung nyaeta pakakas nu bisa dijieun patik atawa rimbas
leres atanapi henteu pakakas paragi neunggeul anu beurat namina gegendir,leres,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu pakakas paragi miceun jujukutan teh namina kored,leres,kored nyaeta pakakas paranti miceun jujukutan
leres atanapi henteu pakarang khas urang sunda nyaeta kujang ,leres,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu pakakas paranti ngababad jukut dina galeng namina parang,leres,parang nyaeta pakakas paranti ngababad jukut dina galeng
leres atanapi henteu pakakas paranti meulah sabangsaning tangkal namina kampak,leres,kampak nyaeta pakakas paranti meulahan sabangsaning tatangkalan atawa kai
leres atanapi henteu wadah jukut meunang ngarit namina carangka,leres,carangka nyaeta pakakas paranti wadah jukut
leres atanapi henteu pakakas paragi ngawaluku namina garu,leres,garu nyaeta pakakas paranti ngawaluku
leres atanapi henteu pakakas paranti nyacar namina congkrang,leres,congkrang nyaeta pakakas paranti nyacar
leres atanapi henteu pakakas paranti ngala pare namina etem,leres,etem nyaeta pakakas paranti ngala pare
"leres atanapi henteu pakakas paranti ngait, dijieun tina awi digagangan namina gaet",leres,gaet nyaeta pakakas paragi ngait nu dijieun na tina kai digagangan
leres atanapi henteu pakakas paranti ngaliangan awi namina jara,leres,jara nyaeta pakakas paranti ngaliangan awi
leres atanapi henteu pakakas paranti ngasah ragaji namina kikir,leres,kikir nyaeta pakakas paranti ngasah ragaji
leres atanapi henteu pakakas paranti naek ka tempat luhur namina taraje,leres,taraje nyaeta pakakas paranti naek ka luhur
leres atanapi henteu pakakas paranti maculan taneuh namina pacul,leres,pacul nyaeta pakakas paranti macul taneuh
leres atanapi henteu pakakas paranti nyapukeun buruan imah namina sapu nyere,leres,sapu nyere nyaeta pakakas paranti nyapukeun buruan imah
leres atanapi henteu pakakas paranti ngakut es kacang namina ancung,leres,ancung nyaeta pakakas paranti ngakut es kacang
leres atanapi henteu pakakas paranti nugar namina balicong,leres,balicong nyaeta pakakas paranti nugar
leres atanapi henteu pakakas paranti maledogkeun batu namina bandring,leres,bandring nyaeta pakakas paranti maledogkeun batu
leres atanapi henteu pakakas paranti ngadek jeung bisa nakol namina dekol,leres,dekol nyaeta pakakas nu bisa dipake ngadek jeung nakol
leres atanapi henteu pakakas paranti ngumpulkeun jukut garing namina gacok,leres,gacok nyaeta pakakas paranti ngumpulkeun jukut garing
leres atanapi henteu pakakas nu bentukna diga bedog tapi leuwih panjang namina gubang,leres,gubang nyaeta pakakas siga bedog tapi leuwih panjang
leres atanapi henteu pakakas paragi mentang jamparing namina gondewa,leres,gondewa nyaeta pakakas paranti mentang jamparing
leres atanapi henteu pakakas nu sok dipake manah namina jamparing,leres,jamparing nyaeta pakakas paranti manah
leres atanapi henteu pakakas paranti ngala lauk namina sumpit,leres,sumpit nyaeta pakakas paranti ngala lauk
leres atanapi henteu pakakas paranti ngala barang namina sundung,leres,sundung nyaeta alat paranti mawa barang
leres atanapi henteu pakakas paranti ngeureut namina peso,leres,peso nyaeta pakakas paranti ngeureut
leres atanapi henteu pakakas paranti ngaratakeun taneuh nu geus diwaluku namina susurung,leres,susurung nyaeta pakakas paranti ngaratakeun taneuh nu geus diwaluku
leres atanapi henteu alat paranti wawadahan namina boboko,leres,boboko nyaeta alat paranti wawadahan
leres atanapi henteu alat paranti motongan sayur namina peso,leres,peso nyaeta alat paranti ngeureutan 
leres atanapi henteu alat paranti nyaring endog lamun enggeus digoreng namina serok,leres,serok nyaeta alat paranti nyerok pasakeun nu beres diigoreng
leres atanapi henteu alat paranti napikeun beas beunang nyosoh namina nyiru,leres,nyiru nyaeta alat paranti napikeun beas meunang nyosoh
leres atanapi henteu alat paranti wadah dahareun dina hajatan namina besek,leres,besek nyaeta wadah dahareun tinu hajatan
leres atanapi henteu alat paranti ngala hu'ut lemes namina ayakan,leres,ayakan nyaeta alat paranti ngayak huut lemes
leres atanapi henteu alat paranti nyangu namina aseupan,leres,aseupan nyaeta alat paranti nyangu
leres atanapi henteu alat paranti ngageberan waktu ngakeul namina hihid,leres,hihid nyaeta alat paranti ngageberan sangu waktu ngakeul
leres atanapi henteu alat paranti ngarendos bumbu namina mutu,leres,mutu nyaeta alat paranti ngarendos bumbu
leres atanapi henteu alat paranti nyiksik bawang jeung sajabana namina talenan,leres,talenan nyaeta tiatakan paranti nyiksik bawang jeung sajabana
leres atanapi henteu alat paranti wadah cai pikeun nginum namina teko,leres,teko nyaeta paranti ngawadahan cai nginum
leres atanapi henteu alat paranti gogoreng namina kawali,leres,kawali nyaeta alat paranti ngagoreng
leres atanapi henteu alat paranti moekeun lauk asin namina cecempeh,leres,cecempeh nyaeta nyiru leutik paranti moe lauk asin
leres atanapi henteu alat paranti wadah timbel namina totolonto,leres,totolonto nyaeta alat paranti wadah timbel
leres atanapi henteu wadah nu gede paranti balanja ka pasar namina rinjing,leres,rinjing nyaeta wadah paranti babawaan mun balanja kla pasar
leres atanapi henteu alat paranti nyieun dodol atawa wajit namina gerengseng,leres,gerengseng nyaeta alat paranti nyieun dodol atawa wajit
"leres atanapi henteu ngaran hawu leutik paranti ngaliwet, naheur cai namina anglo",leres,anglo nyaeta hawu leutik paranti ngaliwet atawa naheur cai
leres atanapi henteu wadah cai badag paranti masak namina gentong,leres,gentong nyaeta wadah cai badag paranti masak
leres atanapi henteu tempat bubuahan nu dijeunna tina tembaga namina bokor,leres,bokor nyaeta tempat bubuahan tina tembaga
leres atanapi henteu alat paranti niup seuneu dina hawu namina songsong,leres,songsong nyaeta alat paranti niup seuneu dina hawu
leres atanapi henteu alat paranti tatakan ngarendos namina cowet,leres,cowet nyaeta tatakan jang ngalemeskeun bumbu nu direndos
leres atanapi henteu alat paranti wawadahan leutik kaulinan barudak namina cecenting,leres,cecenting nyaeta alat paranti wawadahan leutik kaulinan barudak
leres atanapi henteu alat paranti ngawadahan runtah namina piruruhan,leres,piruruhan nyaeta alat paranti ngawadahan runtah
leres atanapi henteu tempat paranti ngakeul namina pangangen,leres,pangangen nyaeta tempat ngakeul
leres atanapi henteu tempat paranti kadaharan namina tetenong,leres,tetenong nyaeta tempat paranti kadaharan
leres atanapi henteu alat paranti ngangeun namina pariuk,leres,pariuk nyaeta alat paranti ngangeun
leres atanapi henteu alat paranti nyiuk angeun namina sinduk,leres,sinduk nyaeta alat paranti nyiuk angeun
leres atanapi henteu alat paranti nyieun surabi namina keren,leres,keren nyaeta alat paranti nyieun sorabi
leres atanapi henteu tempat paranti kukumbah namina jajambaran,leres,jajambaran nyaeta tempat paranti kukumbah
leres atanapi henteu alat paranti nutupan sangu dina aseupan namina kekeb,leres,kekeb nyaeta alat paranti nutupan sangu dina aseupan
leres atanapi henteu alat paranti nyiuk cai namina siwur,leres,siwur nyaeta alat paranti nyiuk cai
leres atanapi henteu alat paranti ngaliwet namina kastrol,leres,kastrol nyaeta alat paranti ngaliwet
leres atanapi henteu alat paranti nutu namina halu,leres,halu nyaeta alat paranti nutu
leres atanapi henteu wawadahan tina jaring namina koja,leres,koja nyaeta wawadahan tina jaring
leres atanapi henteu tempat nyimpen bibinihan luhureun hawu namina paraseuneu,leres,paraseuneu nyaeta tempat nyimpen bibinihan luhureun hawu
leres atanapi henteu wawadahan paranti kadaharan keur ondangan namina dongdang,leres,dongdang nyaeta wawadahan paranti kadaharan keur ondangan
leres atanapi henteu alat paranti moe pare namina gibrig,leres,gibrig nyaeta bilik nu dianyam rekep paranti moe pare
leres atanapi henteu alat paranti ngakeul tina kai namina dulang,leres,dulang nyaeta alat paranti ngakeul tina kai
